session,t_ros,x,y,z,yaw_deg,nearest_dense_wp,nearest_distance_m
210339_wrong_localization,1786795442.829142570,-4.954729,-3.587797,-0.097503,12.681,10,2.1500
210339_wrong_localization,1786795442.930605650,-4.955114,-3.592968,-0.096300,12.729,10,2.1540
210339_wrong_localization,1786795443.028876066,-4.953417,-3.600692,-0.097168,12.730,10,2.1613
210339_wrong_localization,1786795443.128552198,-4.953033,-3.602225,-0.095953,12.756,10,2.1628
210339_wrong_localization,1786795443.228985786,-4.950949,-3.602706,-0.096930,12.734,10,2.1644
210339_wrong_localization,1786795443.328963280,-4.950942,-3.597674,-0.095711,12.680,10,2.1602
210339_wrong_localization,1786795443.430237532,-4.954089,-3.596181,-0.097130,12.696,10,2.1572
210339_wrong_localization,1786795443.530819416,-4.949662,-3.594097,-0.095672,12.699,10,2.1580
210339_wrong_localization,1786795443.629193783,-4.951381,-3.593756,-0.095731,12.689,10,2.1568
210339_wrong_localization,1786795443.729336977,-4.951975,-3.595424,-0.095865,12.714,10,2.1578
210339_wrong_localization,1786795443.828823805,-4.952063,-3.591423,-0.097299,12.694,10,2.1545
210339_wrong_localization,1786795443.929187298,-4.949954,-3.590285,-0.096533,12.696,11,2.1546
210339_wrong_localization,1786795444.029795408,-4.951936,-3.590006,-0.096766,12.715,10,2.1534
210339_wrong_localization,1786795444.128969431,-4.950727,-3.592791,-0.094756,12.710,10,2.1564
210339_wrong_localization,1786795444.229103088,-4.952303,-3.590851,-0.095682,12.709,10,2.1539
210339_wrong_localization,1786795444.330685616,-4.949831,-3.587809,-0.093077,12.719,11,2.1525
210339_wrong_localization,1786795444.429441929,-4.950037,-3.586870,-0.092915,12.714,11,2.1516
210339_wrong_localization,1786795444.530806541,-4.950994,-3.589175,-0.093676,12.722,11,2.1532
210339_wrong_localization,1786795444.629462719,-4.955431,-3.586194,-0.096086,12.690,10,2.1483
210339_wrong_localization,1786795444.729314804,-4.952397,-3.585554,-0.097530,12.689,11,2.1493
210339_wrong_localization,1786795444.825251102,-4.952703,-3.588863,-0.097397,12.725,10,2.1520
210339_wrong_localization,1786795444.925006390,-4.954660,-3.589032,-0.096798,12.691,10,2.1510
210339_wrong_localization,1786795445.029228926,-4.956456,-3.592850,-0.097598,12.742,10,2.1531
210339_wrong_localization,1786795445.129196405,-4.958093,-3.591995,-0.097112,12.729,10,2.1515
210339_wrong_localization,1786795445.228581905,-4.959274,-3.592325,-0.098014,12.729,10,2.1511
210339_wrong_localization,1786795445.330073357,-4.955229,-3.589759,-0.098461,12.695,10,2.1513
210339_wrong_localization,1786795445.431881905,-4.957571,-3.592784,-0.098907,12.725,10,2.1524
210339_wrong_localization,1786795445.529297352,-4.959872,-3.589007,-0.097660,12.692,10,2.1480
210339_wrong_localization,1786795445.631283760,-4.954539,-3.591383,-0.095269,12.724,10,2.1530
210339_wrong_localization,1786795445.731163502,-4.952166,-3.592064,-0.096758,12.717,10,2.1549
210339_wrong_localization,1786795445.830906868,-4.954954,-3.597864,-0.097114,12.780,10,2.1581
210339_wrong_localization,1786795445.924803972,-4.957567,-3.600727,-0.096176,12.716,10,2.1590
210339_wrong_localization,1786795446.029212475,-4.955766,-3.598913,-0.097710,12.722,10,2.1585
210339_wrong_localization,1786795446.129158974,-4.955387,-3.598478,-0.099858,12.712,10,2.1584
210339_wrong_localization,1786795446.229064226,-4.955403,-3.597338,-0.098736,12.730,10,2.1574
