session,t_ros,topic,linear_x,angular_z
210339_wrong_localization,1786795423.029656410,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.043514967,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795423.049416542,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.051265240,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795423.069410086,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.089350224,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.109314919,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.117894650,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795423.129771233,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.143634558,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795423.149503708,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.169426680,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.184580326,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795423.189354420,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.209391594,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.229758739,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.243584156,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795423.249466419,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.251323223,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795423.269352198,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.289314985,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.309434175,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.318008661,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795423.329515696,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.343568563,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795423.349475861,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.369336605,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.384589672,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795423.389344215,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.409397364,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.429672718,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.443545103,/cmd_vel_raw,0.000000,0.000000
210339_wrong_localization,1786795423.449451447,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.451280117,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795423.469410181,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.489424944,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.509393215,/cmd_vel,0.000000,0.000000
210339_wrong_localization,1786795423.517940760,/cmd_vel_gated,0.000000,0.000000
210339_wrong_localization,1786795423.529536486,/cmd_vel,0.000000,0.000000
